2024-08-18 20:31:45,810 - data_preparation - INFO - Total number of files: 12126
2024-08-18 20:31:45,810 - data_preparation - INFO - Using subset of 121 files
2024-08-18 20:31:45,811 - data_preparation - INFO - Training set size: 96
2024-08-18 20:31:45,811 - data_preparation - INFO - Validation set size: 25
2024-08-18 20:31:46,976 - data_preparation - DEBUG - Clean phase range: [-3.1400, 3.1416]
2024-08-18 20:31:46,976 - data_preparation - DEBUG - Noisy phase range: [-3.1389, 3.1416]
2024-08-18 20:31:46,979 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,979 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,980 - data_preparation - DEBUG - Clean phase range: [-3.1406, 3.1416]
2024-08-18 20:31:46,980 - data_preparation - DEBUG - Noisy phase range: [-3.1367, 3.1416]
2024-08-18 20:31:47,142 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,142 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,142 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,142 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,142 - data_preparation - DEBUG - Clean phase range: [-3.1379, 3.1416]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Clean phase range: [-3.1374, 3.1416]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Noisy phase range: [-3.1396, 3.1416]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Clean phase range: [-3.1401, 3.1416]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Noisy phase range: [-3.1391, 3.1416]
2024-08-18 20:31:47,143 - data_preparation - DEBUG - Clean phase range: [-3.1392, 3.1416]
2024-08-18 20:31:47,144 - data_preparation - DEBUG - Noisy phase range: [-3.1387, 3.1416]
2024-08-18 20:31:47,144 - data_preparation - DEBUG - Noisy phase range: [-3.1388, 3.1416]
2024-08-18 20:31:47,158 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,158 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,158 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,158 - data_preparation - DEBUG - Clean phase range: [-3.1374, 3.1416]
2024-08-18 20:31:47,158 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,158 - data_preparation - DEBUG - Noisy phase range: [-3.1397, 3.1416]
2024-08-18 20:31:47,159 - data_preparation - DEBUG - Clean phase range: [-3.1396, 3.1416]
2024-08-18 20:31:47,159 - data_preparation - DEBUG - Noisy phase range: [-3.1382, 3.1416]
2024-08-18 20:31:47,164 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,164 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,165 - data_preparation - DEBUG - Clean phase range: [-3.1378, 3.1416]
2024-08-18 20:31:47,165 - data_preparation - DEBUG - Noisy phase range: [-3.1405, 3.1416]
2024-08-18 20:31:47,167 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,167 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,167 - data_preparation - DEBUG - Clean phase range: [-3.1384, 3.1416]
2024-08-18 20:31:47,168 - data_preparation - DEBUG - Noisy phase range: [-3.1404, 3.1416]
2024-08-18 20:31:47,202 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,203 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,203 - data_preparation - DEBUG - Clean phase range: [-3.1388, 3.1416]
2024-08-18 20:31:47,203 - data_preparation - DEBUG - Noisy phase range: [-3.1388, 3.1416]
2024-08-18 20:31:47,203 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,203 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,203 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,204 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:47,204 - data_preparation - DEBUG - Clean phase range: [-3.1409, 3.1416]
2024-08-18 20:31:47,204 - data_preparation - DEBUG - Clean phase range: [-3.1387, 3.1416]
2024-08-18 20:31:47,204 - data_preparation - DEBUG - Noisy phase range: [-3.1379, 3.1416]
2024-08-18 20:31:47,204 - data_preparation - DEBUG - Noisy phase range: [-3.1383, 3.1416]
